kappa,kernel_variance,seed,best_temperature
0.5,1.0,0,37.7
0.5,1.0,1,37.3
0.5,1.0,2,29.0
0.5,1.0,3,29.0
0.5,1.0,4,39.5
0.5,2.0,0,29.0
0.5,2.0,1,32.7
0.5,2.0,2,28.9
0.5,2.0,3,32.6
0.5,2.0,4,37.4
1.0,1.0,0,28.4
1.0,1.0,1,32.8
1.0,1.0,2,31.7
1.0,1.0,3,35.1
1.0,1.0,4,39.3
1.0,2.0,0,32.3
1.0,2.0,1,30.3
1.0,2.0,2,36.0
1.0,2.0,3,36.3
1.0,2.0,4,33.3
1.5,1.0,0,32.8
1.5,1.0,1,30.3
1.5,1.0,2,31.4
1.5,1.0,3,30.4
1.5,1.0,4,37.1
1.5,2.0,0,31.2
1.5,2.0,1,31.4
1.5,2.0,2,30.8
1.5,2.0,3,31.6
1.5,2.0,4,33.2
2.0,1.0,0,34.9
2.0,1.0,1,34.9
2.0,1.0,2,33.6
2.0,1.0,3,31.7
2.0,1.0,4,37.7
2.0,2.0,0,28.9
2.0,2.0,1,28.2
2.0,2.0,2,37.3
2.0,2.0,3,35.8
2.0,2.0,4,30.5
2.5,1.0,0,34.2
2.5,1.0,1,31.4
2.5,1.0,2,36.4
2.5,1.0,3,34.6
2.5,1.0,4,32.1
2.5,2.0,0,32.8
2.5,2.0,1,33.1
2.5,2.0,2,36.4
2.5,2.0,3,32.6
2.5,2.0,4,30.5
