iteration,lat,lng,temp,best_temp,seed
1,8.7864,77.4682,28.0,28.0,0
2,30.6704,5.0279,23.5,28.0,0
3,-7.5419,131.7318,26.0,28.0,0
4,-47.7654,71.3966,7.1,28.0,0
5,52.7933,115.6425,-26.3,28.0,0
6,-23.6313,7.0391,23.0,28.0,0
7,2.514,-53.2961,26.8,28.0,0
8,63.8547,-59.3296,-23.5,28.0,0
9,-57.8212,-57.3184,4.4,28.0,0
10,-15.5866,-137.7654,26.9,28.0,0
11,-56.8156,173.9665,8.3,28.0,0
12,28.6592,-163.9106,16.5,28.0,0
13,-88.9944,-123.6872,-47.7,28.0,0
14,23.6313,-109.6089,21.2,28.0,0
15,-90.0,7.0391,-49.0,28.0,0
16,90.0,37.2067,-26.4,28.0,0
17,-90.0,121.676,-49.0,28.0,0
18,90.0,-141.7877,-26.4,28.0,0
19,-22.6257,-91.5084,22.8,28.0,0
20,2.514,39.2179,34.9,34.9,0
21,-11.5642,175.9777,27.4,34.9,0
22,90.0,159.8883,-26.4,34.9,0
23,39.7207,49.2737,6.9,34.9,0
24,-33.6872,115.6425,21.2,34.9,0
25,-17.5978,-29.162,26.0,34.9,0
26,90.0,-15.0838,-26.4,34.9,0
27,-15.5866,61.3408,28.2,34.9,0
28,10.5587,-13.0726,33.7,34.9,0
29,21.6201,155.8659,21.9,34.9,0
30,-5.5307,97.5419,27.7,34.9,0
31,2.514,21.1173,30.3,34.9,0
32,-37.7095,-147.8212,19.9,34.9,0
33,4.5251,-141.7877,26.2,34.9,0
34,6.5363,-79.4413,24.9,34.9,0
35,-22.6257,159.8883,26.0,34.9,0
36,26.648,-31.1732,22.0,34.9,0
37,-90.0,-57.3184,-49.0,34.9,0
38,-21.6201,-53.2961,26.9,34.9,0
39,-31.676,35.1955,25.2,34.9,0
40,-32.6816,-103.5754,21.0,34.9,0
41,45.7542,-125.6983,8.6,34.9,0
42,90.0,91.5084,-26.4,34.9,0
43,-6.5363,-171.9553,27.6,34.9,0
44,-1.5084,-3.0168,27.2,34.9,0
45,-9.5531,61.3408,28.3,34.9,0
46,-90.0,61.3408,-49.0,34.9,0
47,-1.5084,-113.6313,25.4,34.9,0
48,-90.0,-177.9888,-49.0,34.9,0
49,-38.7151,-17.095,14.8,34.9,0
50,-30.6704,143.7989,22.2,34.9,0
1,-14.936,79.3168,27.4,27.4,1
2,41.7318,29.162,10.1,27.4,1
3,-56.8156,117.6536,3.9,27.4,1
4,-40.7263,29.162,21.0,27.4,1
5,36.7039,113.6313,4.0,27.4,1
6,-19.6089,-51.2849,26.9,27.4,1
7,-76.9274,-51.2849,-17.6,27.4,1
8,37.7095,-49.2737,19.6,27.4,1
9,5.5307,-105.5866,26.1,27.4,1
10,67.8771,-119.6648,-27.3,27.4,1
11,-44.7486,-143.7989,14.7,27.4,1
12,-0.5028,175.9777,27.8,27.8,1
13,0.5028,-3.0168,28.3,28.3,1
14,-90.0,61.3408,-49.0,28.3,1
15,-90.0,173.9665,-49.0,28.3,1
16,90.0,-15.0838,-26.4,28.3,1
17,-11.5642,131.7318,28.3,28.3,1
18,90.0,159.8883,-26.4,28.3,1
19,90.0,73.4078,-26.4,28.3,1
20,-42.7374,-95.5307,14.9,28.3,1
21,1.5084,43.2402,34.9,34.9,1
22,34.6927,-167.933,13.4,34.9,1
23,-90.0,-113.6313,-49.0,34.9,1
24,-4.5251,-141.7877,26.2,34.9,1
25,-44.7486,-11.0615,9.2,34.9,1
26,-34.6927,165.9218,20.9,34.9,1
27,90.0,-69.3855,-26.4,34.9,1
28,24.6369,71.3966,27.1,34.9,1
29,5.5307,-69.3855,29.9,34.9,1
30,-90.0,1.0056,-49.0,34.9,1
31,24.6369,-17.095,19.7,34.9,1
32,23.6313,153.8547,20.5,34.9,1
33,-6.5363,31.1732,29.1,34.9,1
34,-33.6872,71.3966,21.2,34.9,1
35,-4.5251,105.5866,26.4,34.9,1
36,-16.5922,-101.5642,23.7,34.9,1
37,31.676,-85.4749,-0.5,34.9,1
38,-4.5251,-35.1955,27.8,34.9,1
39,-12.5698,-163.9106,27.4,34.9,1
40,1.5084,61.3408,29.0,34.9,1
41,-13.5754,145.8101,28.5,34.9,1
42,-12.5698,9.0503,25.4,34.9,1
43,-26.648,-65.3631,23.3,34.9,1
44,90.0,-155.8659,-26.4,34.9,1
45,-17.5978,-129.7207,26.4,34.9,1
46,15.5866,-141.7877,24.5,34.9,1
47,-23.6313,109.6089,23.9,34.9,1
48,38.7151,65.3631,17.9,34.9,1
49,5.5307,-45.2514,27.0,34.9,1
50,-16.5922,47.2626,30.8,34.9,1
1,-11.5209,-170.6666,27.6,27.6,2
2,-2.514,-95.5307,26.5,27.6,2
3,-22.6257,133.743,22.7,27.6,2
4,39.7207,-145.8101,8.4,27.6,2
5,-55.8101,-129.7207,3.7,27.6,2
6,12.5698,-37.2067,23.8,27.6,2
7,-43.743,-41.2291,15.6,27.6,2
8,33.6872,135.7542,11.4,27.6,2
9,65.8659,-65.3631,-35.5,27.6,2
10,-10.5587,29.162,23.3,27.6,2
11,45.7542,51.2849,-1.2,27.6,2
12,-61.8436,71.3966,0.9,27.6,2
13,-82.9609,155.8659,-31.1,27.6,2
14,-2.514,85.4749,28.2,28.2,2
15,-90.0,7.0391,-49.0,28.2,2
16,90.0,169.9441,-26.4,28.2,2
17,-90.0,-79.4413,-49.0,28.2,2
18,90.0,95.5307,-26.4,28.2,2
19,90.0,5.0279,-26.4,28.2,2
20,25.6425,3.0168,28.8,28.8,2
21,-16.5922,-11.0615,25.3,28.8,2
22,-7.5419,-133.743,26.6,28.8,2
23,-30.6704,-81.4525,21.0,28.8,2
24,90.0,-125.6983,-26.4,28.8,2
25,16.5922,171.9553,24.6,28.8,2
26,-36.7039,101.5642,17.9,28.8,2
27,-90.0,101.5642,-49.0,28.8,2
28,-38.7151,-177.9888,20.0,28.8,2
29,-8.5475,-53.2961,25.1,28.8,2
30,-20.6145,59.3296,27.3,28.8,2
31,4.5251,115.6425,19.1,28.8,2
32,25.6425,-101.5642,7.0,28.8,2
33,-90.0,-151.8436,-49.0,28.8,2
34,-39.7207,23.1285,23.0,28.8,2
35,-8.5475,155.8659,28.4,28.8,2
36,7.5419,31.1732,33.6,33.6,2
37,40.7263,-11.0615,14.2,33.6,2
38,-2.514,-5.0279,26.9,33.6,2
39,-18.6034,-129.7207,26.1,33.6,2
40,30.6704,89.4972,-7.5,33.6,2
41,4.5251,-159.8883,27.0,33.6,2
42,-21.6201,63.352,27.8,33.6,2
43,41.7318,175.9777,12.2,33.6,2
44,-27.6536,-97.5419,23.5,33.6,2
45,13.5754,25.1397,25.7,33.6,2
46,-1.5084,-63.352,29.0,33.6,2
47,90.0,49.2737,-26.4,33.6,2
48,-2.514,155.8659,28.3,33.6,2
49,-14.581,-25.1397,26.0,33.6,2
50,-35.6983,147.8212,24.1,33.6,2
1,9.1436,74.9332,28.1,28.1,3
2,32.6816,3.0168,20.9,28.1,3
3,-5.5307,129.7207,28.1,28.1,3
4,-46.7598,89.4972,10.5,28.1,3
5,51.7877,115.6425,-24.2,28.1,3
6,-23.6313,19.1061,31.7,31.7,3
7,-15.5866,-43.2402,27.2,31.7,3
8,-75.9218,-25.1397,-6.5,31.7,3
9,-45.7542,-180.0,13.1,31.7,3
10,1.5084,-115.6425,25.6,31.7,3
11,45.7542,-71.3966,-11.3,31.7,3
12,-55.8101,-103.5754,6.4,31.7,3
13,17.5978,-169.9441,24.9,31.7,3
14,86.9832,-147.8212,-29.8,31.7,3
15,90.0,33.1844,-26.4,31.7,3
16,-90.0,137.7654,-49.0,31.7,3
17,-90.0,41.2291,-49.0,31.7,3
18,90.0,-31.1732,-26.4,31.7,3
19,-90.0,-143.7989,-49.0,31.7,3
20,-20.6145,-147.8212,26.5,31.7,3
21,11.5642,37.2067,26.0,31.7,3
22,-4.5251,-9.0503,27.5,31.7,3
23,-90.0,-71.3966,-49.0,31.7,3
24,-17.5978,-81.4525,23.4,31.7,3
25,-21.6201,59.3296,27.0,31.7,3
26,-9.5531,165.9218,28.5,31.7,3
27,90.0,155.8659,-26.4,31.7,3
28,-33.6872,129.7207,19.1,31.7,3
29,34.6927,-131.7318,14.4,31.7,3
30,-37.7095,-17.095,15.1,31.7,3
31,-9.5531,95.5307,28.0,31.7,3
32,18.6034,-35.1955,22.6,31.7,3
33,36.7039,165.9218,9.7,31.7,3
34,42.7374,53.2961,3.0,31.7,3
35,90.0,-91.5084,-26.4,31.7,3
36,-23.6313,-127.7095,25.8,31.7,3
37,-2.514,-161.8994,27.0,31.7,3
38,0.5028,21.1173,31.3,31.7,3
39,90.0,87.486,-26.4,31.7,3
40,-38.7151,-59.3296,20.2,31.7,3
41,-30.6704,41.2291,24.6,31.7,3
42,1.5084,-81.4525,26.9,31.7,3
43,-5.5307,157.8771,28.5,31.7,3
44,-6.5363,59.3296,27.5,31.7,3
45,-0.5028,-3.0168,27.6,31.7,3
46,-7.5419,105.5866,28.2,31.7,3
47,-20.6145,-103.5754,24.2,31.7,3
48,5.5307,-145.8101,26.5,31.7,3
49,-2.514,-47.2626,27.0,31.7,3
50,-41.7318,11.0615,15.6,31.7,3
1,84.0654,17.0036,-21.6,-21.6,4
2,10.5587,-1.0056,37.7,37.7,4
3,-43.743,-17.095,12.4,37.7,4
4,-15.5866,49.2737,23.8,37.7,4
5,17.5978,-63.352,26.4,37.7,4
6,-36.7039,-105.5866,20.0,37.7,4
7,24.6369,-135.7542,21.1,37.7,4
