iteration,lat,lng,temp,best_temp,seed
1,45.0,20.0,10.6,10.6,0
2,-45.0,-100.0,14.3,14.3,0
3,-90.0,-100.0,-48.8,14.3,0
4,-45.0,140.0,11.3,14.3,0
5,0.0,-180.0,27.8,27.8,0
6,0.0,20.0,31.5,31.5,0
7,45.0,100.0,-11.9,31.5,0
8,-45.0,60.0,10.9,31.5,0
9,0.0,-20.0,26.8,31.5,0
10,90.0,-180.0,-26.5,31.5,0
11,45.0,60.0,-0.5,31.5,0
12,-90.0,100.0,-48.8,31.5,0
13,-45.0,20.0,12.2,31.5,0
14,90.0,60.0,-26.4,31.5,0
15,45.0,-60.0,0.8,31.5,0
16,0.0,-140.0,25.2,31.5,0
17,90.0,-100.0,-26.4,31.5,0
18,-90.0,180.0,-48.8,31.5,0
19,45.0,180.0,9.1,31.5,0
20,90.0,20.0,-26.4,31.5,0
21,-90.0,-60.0,-48.8,31.5,0
22,-90.0,60.0,-48.8,31.5,0
23,0.0,60.0,28.4,31.5,0
24,-45.0,-60.0,13.9,31.5,0
25,0.0,140.0,27.9,31.5,0
26,-90.0,-20.0,-48.8,31.5,0
27,45.0,140.0,-1.2,31.5,0
28,45.0,-140.0,8.3,31.5,0
29,45.0,-100.0,0.7,31.5,0
30,-90.0,20.0,-48.8,31.5,0
31,-90.0,-140.0,-48.8,31.5,0
32,0.0,-60.0,30.6,31.5,0
33,-90.0,140.0,-48.8,31.5,0
34,90.0,180.0,-26.4,31.5,0
35,-45.0,-180.0,13.6,31.5,0
36,0.0,-100.0,26.1,31.5,0
37,0.0,100.0,27.7,31.5,0
38,90.0,-20.0,-26.4,31.5,0
39,-45.0,-140.0,13.6,31.5,0
40,45.0,-20.0,12.6,31.5,0
41,-45.0,100.0,10.0,31.5,0
42,-45.0,-20.0,12.1,31.5,0
43,90.0,-60.0,-26.4,31.5,0
44,90.0,-140.0,-26.4,31.5,0
45,90.0,100.0,-26.4,31.5,0
46,-45.0,180.0,13.6,31.5,0
47,45.0,-180.0,9.2,31.5,0
48,-90.0,-180.0,-40.2,31.5,0
49,0.0,180.0,27.8,31.5,0
50,90.0,140.0,-26.4,31.5,0
1,0.0,20.0,31.5,31.5,1
2,-90.0,100.0,-48.8,31.5,1
3,-90.0,140.0,-48.8,31.5,1
4,45.0,100.0,-11.9,31.5,1
5,0.0,-180.0,27.8,31.5,1
6,45.0,-180.0,9.2,31.5,1
7,45.0,180.0,9.1,31.5,1
8,90.0,20.0,-26.4,31.5,1
9,-45.0,180.0,13.6,31.5,1
10,-45.0,60.0,10.9,31.5,1
11,0.0,60.0,28.4,31.5,1
12,90.0,100.0,-26.4,31.5,1
13,-45.0,-20.0,12.1,31.5,1
14,-45.0,100.0,10.0,31.5,1
15,90.0,-60.0,-26.4,31.5,1
16,0.0,140.0,27.9,31.5,1
17,90.0,180.0,-26.4,31.5,1
18,-45.0,20.0,12.2,31.5,1
19,0.0,-20.0,26.8,31.5,1
20,45.0,-100.0,0.7,31.5,1
21,-45.0,140.0,11.3,31.5,1
22,0.0,-60.0,30.6,31.5,1
23,-90.0,180.0,-48.8,31.5,1
24,90.0,-20.0,-26.4,31.5,1
25,45.0,-20.0,12.6,31.5,1
26,90.0,-180.0,-26.5,31.5,1
27,45.0,60.0,-0.5,31.5,1
28,90.0,-100.0,-26.4,31.5,1
29,-90.0,60.0,-48.8,31.5,1
30,-90.0,-100.0,-48.8,31.5,1
31,45.0,20.0,10.6,31.5,1
32,90.0,140.0,-26.4,31.5,1
33,90.0,60.0,-26.4,31.5,1
34,45.0,-60.0,0.8,31.5,1
35,-90.0,-20.0,-48.8,31.5,1
36,-90.0,20.0,-48.8,31.5,1
37,-45.0,-140.0,13.6,31.5,1
38,0.0,-140.0,25.2,31.5,1
39,0.0,180.0,27.8,31.5,1
40,-45.0,-180.0,13.6,31.5,1
41,-45.0,-60.0,13.9,31.5,1
