iteration,lat,lng,temp,best_temp,seed
1,24.6531,-82.8768,14.9,14.9,0
2,-82.6248,-174.0501,-29.6,14.9,0
3,56.3886,148.592,-1.9,14.9,0
4,19.1944,82.6188,24.2,24.2,0
5,7.8525,156.6261,27.6,27.6,0
6,56.8536,-179.0141,1.5,27.6,0
7,64.3328,-167.9092,-21.9,27.6,0
8,41.338,-116.764,4.9,27.6,0
9,65.3722,14.926,-12.5,27.6,0
10,-36.0519,-27.8326,18.5,27.6,0
11,-84.9025,-135.258,-17.2,27.6,0
12,30.7124,52.9882,9.6,27.6,0
13,20.7693,-41.8761,23.5,27.6,0
14,89.4978,173.1007,-27.1,27.6,0
15,33.3976,54.1653,22.6,27.6,0
16,33.9204,-39.9883,18.9,27.6,0
17,-65.6826,79.7358,-0.1,27.6,0
18,4.5638,-68.3129,29.8,29.8,0
19,-2.5496,140.2156,26.1,29.8,0
20,78.1278,-51.1937,-49.3,29.8,0
21,12.8754,-64.127,26.2,29.8,0
22,16.974,-58.352,26.5,29.8,0
23,-19.5086,140.4988,26.4,29.8,0
24,-49.1116,44.3474,7.1,29.8,0
25,-74.8772,119.7519,-26.7,29.8,0
26,51.6777,-93.827,-11.8,29.8,0
27,67.7672,-158.9155,-27.2,29.8,0
28,-29.4989,-125.8994,24.9,29.8,0
29,-8.9389,106.6767,27.5,29.8,0
30,-48.4844,-161.2723,11.6,29.8,0
31,-17.1807,-108.5353,25.0,29.8,0
32,-73.6645,28.9197,-33.9,29.8,0
33,-36.2347,61.9182,19.9,29.8,0
34,-54.0872,159.1607,8.4,29.8,0
35,-24.2802,-142.0217,25.8,29.8,0
36,23.2395,153.7756,21.0,29.8,0
37,-10.7321,163.6526,28.8,29.8,0
38,-0.0188,-26.9177,26.8,29.8,0
39,21.6384,178.2347,21.6,29.8,0
40,80.8099,-14.3837,-29.0,29.8,0
41,46.3912,-0.9278,19.4,29.8,0
42,5.2762,102.8829,23.6,29.8,0
43,-15.3619,84.4141,27.2,29.8,0
44,38.0057,155.5415,12.9,29.8,0
45,-69.3121,82.4454,-22.2,29.8,0
46,76.9363,168.4534,-28.2,29.8,0
47,-87.3529,130.9104,-52.8,29.8,0
48,86.6151,164.5957,-29.8,29.8,0
49,-63.2225,170.1464,2.8,29.8,0
50,70.1884,116.0546,-36.5,29.8,0
1,2.1279,162.1669,28.4,28.4,1
2,-64.0513,161.5138,1.1,28.4,1
3,-33.8703,-27.6025,20.5,28.4,1
4,58.9865,-32.6883,1.9,28.4,1
5,8.9269,-170.0787,26.4,28.4,1
6,45.6324,13.7316,11.3,28.4,1
7,-30.6483,103.8343,20.4,28.4,1
8,-35.4249,-16.7408,16.9,28.4,1
9,-65.8725,-34.8793,-2.2,28.4,1
10,-53.3781,-85.5672,9.5,28.4,1
11,45.0656,-79.0528,-19.8,28.4,1
12,-2.6656,173.0654,28.4,28.4,1
13,83.0983,80.9244,-12.8,28.4,1
14,7.4208,-80.3192,27.5,28.4,1
15,-61.0826,169.1731,5.6,28.4,1
16,2.8923,-138.2884,26.2,28.4,1
17,22.2282,99.6059,16.0,28.4,1
18,20.3406,150.2272,22.5,28.4,1
19,-82.8733,10.2921,-41.3,28.4,1
20,-7.3195,-157.5542,27.9,28.4,1
21,25.4391,126.9478,22.1,28.4,1
22,16.7294,-86.3649,23.8,28.4,1
23,61.1787,3.4185,6.4,28.4,1
24,1.96,91.0909,28.1,28.4,1
25,-63.374,115.0656,1.9,28.4,1
26,32.9916,103.3549,-2.5,28.4,1
27,-55.5091,108.8511,4.7,28.4,1
28,-55.5617,-150.6411,4.9,28.4,1
29,63.9409,130.0621,-8.1,28.4,1
30,67.7767,-10.1125,2.3,28.4,1
31,-40.6713,-177.4469,18.1,28.4,1
32,26.2298,79.1674,21.7,28.4,1
33,60.4025,-78.524,-29.8,28.4,1
34,-51.2607,50.1593,4.3,28.4,1
35,54.9099,166.9215,0.7,28.4,1
36,-62.9055,-6.4035,0.4,28.4,1
37,71.0489,-27.8219,-23.7,28.4,1
38,16.1104,-171.1834,25.4,28.4,1
39,31.2228,150.8719,16.9,28.4,1
40,58.8286,138.7873,-8.8,28.4,1
41,28.864,-91.6012,12.7,28.4,1
42,48.3331,-103.7971,-9.8,28.4,1
43,59.6295,-157.4215,-6.6,28.4,1
44,58.5878,-120.7774,-22.2,28.4,1
45,-22.4735,-65.9743,9.5,28.4,1
46,34.4407,-115.7141,8.3,28.4,1
47,-18.6739,-177.9031,28.2,28.4,1
48,-42.751,-28.372,15.3,28.4,1
49,-70.9342,47.9376,-36.4,28.4,1
50,-21.5236,81.1058,25.0,28.4,1
1,-42.9098,-72.5432,6.5,6.5,2
2,56.5606,-146.9103,4.9,6.5,2
3,18.0181,82.2818,19.9,19.9,2
4,-56.1778,-160.1472,6.6,19.9,2
5,-40.5055,56.6759,17.5,19.9,2
6,11.2078,-125.9776,25.7,25.7,2
7,-12.1265,60.947,28.9,28.9,2
8,-13.8988,47.9464,28.6,28.9,2
9,84.1385,65.9033,-14.6,28.9,2
10,-19.5075,-112.5891,25.4,28.9,2
11,-27.7271,3.9838,22.9,28.9,2
12,70.4177,99.203,-30.5,28.9,2
13,-32.7336,152.7181,25.0,28.9,2
14,-5.2362,69.7532,27.0,28.9,2
15,-70.7027,-142.3643,-3.8,28.9,2
16,-53.6567,138.4019,5.8,28.9,2
17,32.3661,125.7251,13.2,28.9,2
18,25.9985,-33.6447,21.6,28.9,2
19,2.9841,33.6397,29.8,29.8,2
20,65.1812,-22.253,-4.4,29.8,2
21,70.6032,40.9381,-4.7,29.8,2
22,59.2841,-0.6998,7.6,29.8,2
23,34.6533,-57.9509,17.7,29.8,2
24,4.1091,-102.1596,27.0,29.8,2
25,-71.8734,-166.1025,-3.4,29.8,2
26,36.3509,-15.685,15.6,29.8,2
27,71.5921,120.666,-36.4,29.8,2
28,-20.6829,170.5244,27.4,29.8,2
29,16.5712,95.718,23.3,29.8,2
30,-16.705,-109.3788,25.1,29.8,2
31,-59.0801,-114.7658,3.7,29.8,2
32,18.685,-139.4522,23.6,29.8,2
33,-86.4161,119.8789,-51.0,29.8,2
34,-72.106,-17.7896,-1.6,29.8,2
35,-2.0703,43.2981,27.6,29.8,2
36,0.7226,157.4435,28.5,29.8,2
37,45.0714,26.8079,3.8,29.8,2
38,21.109,2.3585,27.9,29.8,2
39,83.6571,-98.4146,-30.5,29.8,2
40,34.0249,19.8348,17.0,29.8,2
41,-82.4379,-73.386,-23.3,29.8,2
42,76.89,102.4433,-29.3,29.8,2
43,-87.6904,-73.2145,-42.2,29.8,2
44,-88.235,117.8881,-53.1,29.8,2
45,-70.1338,-159.3161,-2.8,29.8,2
46,86.739,-19.4868,-22.1,29.8,2
47,-32.6893,-162.3552,21.9,29.8,2
48,-19.8728,-48.2259,23.0,29.8,2
49,4.2265,-177.5572,27.8,29.8,2
50,-63.3667,-104.4409,2.8,29.8,2
1,-74.5831,-94.7482,-19.5,-19.5,3
2,54.2294,29.5783,0.9,0.9,3
3,-73.0568,-24.0743,-1.7,0.9,3
4,-3.7708,-122.494,25.8,25.8,3
5,42.2239,-139.0781,9.4,25.8,3
6,-19.5789,6.0265,24.2,25.8,3
7,-12.487,31.2475,20.6,25.8,3
8,42.8108,164.2562,5.6,25.8,3
9,-38.8438,53.477,18.8,25.8,3
10,35.3189,-74.6205,4.2,25.8,3
11,-89.7318,170.4457,-50.3,25.8,3
12,-36.2878,-66.965,24.4,25.8,3
13,70.508,30.6587,-0.3,25.8,3
14,-5.1643,98.3797,27.9,27.9,3
15,-84.5377,74.5074,-51.3,27.9,3
16,-22.6361,-147.293,27.0,27.9,3
17,28.89,155.327,17.8,27.9,3
18,-52.7056,46.8325,3.0,27.9,3
19,-36.3306,87.0324,19.1,27.9,3
20,39.9897,-101.2624,6.7,27.9,3
21,59.3796,56.7548,-11.4,27.9,3
22,32.9038,115.2273,6.5,27.9,3
23,-12.8569,93.134,27.4,27.9,3
24,68.1264,-143.1648,-16.7,27.9,3
25,62.9583,-38.1862,-6.1,27.9,3
26,-3.6569,-127.3196,26.0,27.9,3
27,35.7167,-74.8877,2.2,27.9,3
28,66.805,-80.8652,-32.0,27.9,3
29,11.1257,-36.1238,23.8,27.9,3
30,20.3237,-109.2099,23.2,27.9,3
31,-57.5482,88.8697,3.0,27.9,3
32,45.4002,24.112,4.2,27.9,3
33,75.7943,-105.921,-37.4,27.9,3
34,63.1622,-119.1646,-26.7,27.9,3
35,83.5844,44.5294,-15.1,27.9,3
36,19.2391,169.4012,22.8,27.9,3
37,51.6659,104.3703,-18.8,27.9,3
38,-80.2631,-47.0569,-23.2,27.9,3
39,-74.7189,-110.3301,-11.1,27.9,3
40,-51.5039,129.1111,6.5,27.9,3
41,-67.1841,-73.1672,1.8,27.9,3
42,-1.2875,125.8057,28.3,28.3,3
43,83.7417,74.9321,-13.6,28.3,3
44,-51.5363,16.1938,2.0,28.3,3
45,37.0726,-161.3223,10.9,28.3,3
46,32.3792,-47.4185,20.8,28.3,3
47,16.1461,61.032,25.2,28.3,3
48,30.4429,8.2979,22.8,28.3,3
49,9.8527,-108.6661,26.6,28.3,3
50,-0.8663,-134.8526,24.9,28.3,3
1,79.7501,4.0779,-18.9,-18.9,4
2,85.7239,-150.899,-30.9,-18.9,4
3,19.324,-44.4648,24.4,24.4,4
4,54.3422,-117.17,-9.8,24.4,4
5,66.8943,15.8189,-17.1,24.4,4
6,72.3987,-8.2247,0.6,24.4,4
7,-12.5107,104.0208,27.1,27.1,4
8,87.1475,-46.8987,-24.0,27.1,4
9,84.4079,154.4495,-31.0,27.1,4
10,-58.0153,39.1866,1.8,27.1,4
11,36.8757,159.4093,12.1,27.1,4
12,29.8183,-131.9775,18.6,27.1,4
13,-0.3838,-2.2969,27.6,27.6,4
14,0.0407,165.0896,28.5,28.5,4
15,-27.0113,-99.4424,23.5,28.5,4
16,3.9757,50.8215,27.0,28.5,4
17,79.0393,29.5257,-11.5,28.5,4
18,-41.79,154.7189,18.9,28.5,4
19,-1.4894,63.2883,28.5,28.5,4
20,-4.313,-101.8872,26.1,28.5,4
21,34.6594,97.427,-9.4,28.5,4
22,-55.6581,-14.4302,2.3,28.5,4
23,-24.8733,-118.5373,25.1,28.5,4
24,-50.1567,166.5027,12.1,28.5,4
25,69.1601,-42.3749,-47.1,28.5,4
26,43.1052,-164.8915,7.3,28.5,4
27,74.7103,13.3815,1.5,28.5,4
28,57.6482,-80.6622,-30.0,28.5,4
29,-22.2977,-54.7043,27.2,28.5,4
30,85.0391,-25.3944,-21.1,28.5,4
31,-0.0553,164.1524,28.5,28.5,4
32,72.5752,-37.7962,-60.3,28.5,4
33,-34.6756,110.5373,18.8,28.5,4
34,-70.6551,-38.812,-7.7,28.5,4
35,67.7581,150.3513,-35.1,28.5,4
36,-47.9743,-151.6607,10.6,28.5,4
37,51.7909,43.8401,-5.7,28.5,4
38,-47.2491,2.1215,4.2,28.5,4
39,-77.1447,72.0314,-34.2,28.5,4
40,4.8106,73.6732,27.9,28.5,4
41,-74.1295,52.1334,-40.2,28.5,4
42,-23.3395,-0.2489,24.0,28.5,4
43,-29.6132,48.2711,24.8,28.5,4
44,12.287,42.1613,35.7,35.7,4
45,-78.5917,-98.949,-24.3,35.7,4
46,-77.0572,-42.0128,-10.1,35.7,4
47,-3.4185,-139.5569,26.1,35.7,4
48,30.166,-4.5516,23.9,35.7,4
49,0.0593,35.0877,17.5,35.7,4
50,78.2781,31.9914,-9.7,35.7,4
